nppes_provider_city,counts,nppes_provider_zip5,total_claim_count,brand_claim_count,generic_claim_count,brand_drug_cost,generic_drug_cost,total_drug_cost,total_30_day_fill_count,total_day_supply,bene_count,brand_percent_spending,Index
BRIGHTWATERS,5,58590.0,1062,191.0,854.0,57849.25,24079.000000000004,82422.0,1190.0,28026,336.0,0.7060964929679323,5257
RED BANK,230,1771253.0,172705,26115.0,131817.0,10669352.139999997,4440875.2,25296316.12999999,273585.10000000003,7534337,26514.0,0.7061013643226892,5258
PLENTYWOOD,4,237016.0,19309,3349.0,15918.0,785845.59,327082.15,1114583.18,25417.4,723101,964.0,0.7061065707644235,5259
TINTON FALLS,96,740812.0,145376,23704.0,113923.0,7480042.010000001,3113120.5199999996,14187914.94,234394.70000000007,6449359,15954.0,0.7061198191584812,5260
PARSONS,74,4228182.0,207564,29757.0,173745.0,7342311.629999999,3055674.5499999993,10847779.910000004,277436.8,6742322,11892.0,0.7061282351117725,5261
VIEW PARK,1,90008.0,391,43.0,348.0,40619.87,16904.12,57523.99,391.3,11693,48.0,0.7061379087229519,5262
SABETHA,11,731874.0,31340,5190.0,25819.0,1141261.1300000001,474800.01,1626424.79,40278.9,1087028,1677.0,0.7061992283287005,5263
MARLOW,7,511385.0,22150,3784.0,17966.0,889819.1200000001,370192.08999999997,1293189.4700000002,30960.6,848619,1130.0,0.7061993678611796,5264
RAYNE,10,705780.0,51389,8410.0,41363.0,1998549.12,831338.3300000001,2987063.5700000003,64096.4,1767981,2074.0,0.7062291894329579,5265
STRONGSVILLE,103,4546151.0,111311,16370.0,89860.0,5293874.109999999,2201836.9000000004,14821695.879999995,194756.5,5416375,15677.0,0.7062537633771448,5266
FORESTVILLE,15,521902.0,9995,1437.0,7970.0,428406.45999999996,178182.84999999998,697788.1299999998,13480.8,302226,681.0,0.706254549721623,5267
